id_left,location_left,text_left,length_left
53,"[452557.3580665345, 4420038.147272134]","[25465, 7540, 25472]",3
54,"[445487.2159902311, 4415969.817440024]","[13280, 8269, 10628, 13285]",4
55,"[469285.3576391938, 4464766.380281364]","[19243, 12291, 26557, 19266]",4
56,"[447041.0416477304, 4419922.024174317]","[25137, 6849, 25144]",3
57,"[434772.3443697038, 4453400.894854546]","[5855, 3647, 23962, 20562, 7598, 25028, 25465, 11845, 5933, 7616, 25482]",11
58,"[442619.961554221, 4440532.446022672]","[5855, 3647, 6350, 22079, 8186, 28593, 24170, 24581, 18564, 2575, 12512, 5872, 6467, 8206, 24584]",15
59,"[443331.24781265436, 4426045.920090707]","[24198, 9943, 11845, 23183, 11845, 24200, 23187]",7
60,"[454605.86418605776, 4429018.911871187]","[16405, 8705, 18761, 16416]",4
61,"[469340.8273562904, 4420714.336791332]","[2331, 15059, 27179, 2445]",4
62,"[470032.25885901606, 4417510.712350636]","[4831, 18330, 11392, 6091, 4859, 11406]",6
63,"[448310.1988984782, 4416712.328212457]","[17064, 11842, 13449, 17861, 26109, 17108, 17906]",7
64,"[449870.42924668384, 4421884.471751733]","[13287, 23396, 13289]",3
65,"[440570.7601045324, 4432926.476851019]",[764],1
66,"[438441.41243241075, 4415870.926160512]","[23653, 7303, 23653, 17244]",4
67,"[443804.7676412078, 4426652.136358818]","[17446, 16710, 16178, 2292, 19344, 17455, 2305]",7
68,"[441062.15621960664, 4420728.033551492]","[10648, 7293, 10649]",3
69,"[452535.5602494218, 4416532.467375718]","[22409, 5788, 6218, 4887, 25586, 11845, 22413, 6241]",8
70,"[443042.6895640717, 4403031.293881316]",[1333],1
71,"[462066.19513865584, 4444220.900136946]","[28593, 23653, 22409, 5788, 28681, 22413]",6
72,"[443529.61731385725, 4421166.653867447]","[18713, 15210, 18079, 28250, 18723, 18102]",6
73,"[440743.59672298084, 4409907.969569222]","[17064, 27788, 4321, 17198]",4
74,"[451496.4002604542, 4419282.6830839645]","[24303, 4039, 18217, 24305]",4
75,"[435590.18080730934, 4453393.870734637]","[26539, 23962, 27883, 3647, 5733, 26549, 27885]",7
76,"[446251.8563326104, 4424500.435782299]","[17058, 16478, 17061]",3
77,"[458139.70910514035, 4432199.63190505]","[24752, 19373, 24762]",3
78,"[443213.9931032729, 4426046.793799508]","[19819, 5743, 9493, 19824]",4
79,"[450411.4806305911, 4414869.270917307]","[7663, 7831, 7663, 7831]",4
80,"[457345.5396230046, 4415894.384896849]","[2043, 25586, 16640, 21531, 27437, 2168, 21786]",7
81,"[446183.0825711474, 4414745.457602665]","[5491, 5665, 27008, 5492]",4
82,"[435414.49087186705, 4418944.574887909]","[9663, 3014, 2242, 24166, 1]",5
83,"[448446.1317480143, 4419455.113157867]","[17313, 19819, 17360]",3
84,"[454067.258367536, 4417437.656234283]","[22603, 14910, 18217, 22631]",4
85,"[451859.05637947645, 4420957.087588966]","[17313, 7540, 27505, 6849, 27507]",5
86,"[439522.48638002895, 4433696.924407326]","[23962, 24514, 24128]",3
87,"[441676.8413420486, 4424381.661959934]","[17064, 28137, 27524, 17200]",4
88,"[443203.76200168626, 4424674.986210754]","[5420, 12414, 5436, 894]",4
89,"[441966.0893758788, 4416148.19104276]","[21434, 7540, 21438]",3
90,"[449820.3488783962, 4414263.4236932015]","[11089, 11089, 28137, 11090]",4
91,"[471652.4428104251, 4411255.253135407]","[20304, 3848, 12291, 26557, 12870, 4471, 20306, 12310, 12872]",9
92,"[456651.47145195724, 4417727.395350741]","[14795, 26390, 14821]",3
93,"[431737.42110802024, 4453732.62137997]","[17064, 11842, 13449, 17108]",4
94,"[421804.7772669033, 4396511.314988721]","[3227, 7270, 21185, 25465, 11845, 3242, 25482]",7
95,"[441306.2177355737, 4421945.60139384]","[22071, 2326, 18217, 22072]",4
96,"[455868.63844195707, 4424438.645568299]","[16901, 17058, 16912]",3
97,"[452122.4600865621, 4425528.271384714]","[4745, 12159, 11331, 23288, 4747, 11370]",6
98,"[456362.22337621823, 4428703.775622667]","[17861, 26109, 17906]",3
99,"[453706.78537427454, 4416067.99927987]","[23909, 21411, 23911]",3
100,"[448105.474913019, 4421134.137819856]","[18055, 17861, 28343, 28348, 18056, 28344]",6
101,"[450654.2094990586, 4416087.112665106]","[26031, 11635, 25995, 15175, 18104, 26032, 26005]",7
102,"[465815.3562062726, 4419509.935594213]","[5295, 17264, 17265, 23676, 20903, 5314, 23682]",7
103,"[444363.1643971567, 4422837.259676281]","[22409, 5788, 22413]",3
104,"[463225.5242367424, 4417845.316274403]","[26500, 25091, 25465, 11845, 26507, 25482]",6
105,"[453826.03524127544, 4416372.129141306]","[20471, 27663, 15019, 20480]",4
106,"[455079.8549213975, 4409962.80962296]","[8937, 14780, 24797, 21531, 27437, 9075, 21786]",7
107,"[470001.76479490544, 4409737.342680375]","[21434, 7540, 5828, 8921, 23962, 19771, 26270, 5772, 18564, 8226, 21438, 5831, 24099, 5784]",14
108,"[448301.9453376801, 4415492.963539821]","[23962, 6530, 8937, 12811, 8611, 24000, 9055]",7
109,"[448427.59645523794, 4416711.534390489]","[21886, 22471, 23042, 27590, 21994, 23112]",6
110,"[457013.9183692254, 4419554.45236945]","[14795, 26390, 8937, 12811, 8611, 14821, 9055]",7
111,"[455178.6204506854, 4406761.33456595]","[11643, 16901, 11845, 2178, 26270, 7082, 25171, 11648, 2224, 7084]",10
112,"[447010.3656403271, 4415501.8141035205]","[12943, 26044, 4827, 22071, 4321, 15665, 1, 4330]",8
113,"[465523.4073859589, 4432772.247215681]","[17861, 26109, 17906]",3
114,"[430846.9073357643, 4420051.649138566]","[7464, 17064, 21531, 27437, 21786]",5
115,"[470844.0469783129, 4414916.39768626]","[25507, 15175, 28250, 15187]",4
116,"[458570.2534498231, 4403541.3792700125]","[15346, 7038, 9568, 27505, 15347, 9572]",6
117,"[455053.918217946, 4405542.680290083]","[10349, 18564, 18638, 10532, 5161, 10361, 10533]",7
118,"[450461.97138691397, 4422642.746464219]","[10538, 10403, 25185, 22353, 23962, 6530, 10546, 25187, 24000]",9
119,"[452308.3785092215, 4417753.295324348]","[2331, 5855, 23288, 2364]",4
120,"[438090.7621168727, 4430507.323615892]","[2178, 8490]",2
121,"[455289.40990576247, 4425661.444203867]","[26058, 13135, 26204, 1]",4
122,"[453454.33364554454, 4413173.447097169]","[3647, 15840, 14101, 14885, 13808, 18937, 3736, 14125]",8
123,"[450173.970344476, 4432400.124941939]","[28593, 12414, 11725, 8548, 28624, 11746]",6
124,"[472039.2437986896, 4452408.667607728]","[25995, 15175, 18104, 27179, 3027, 8611, 6109, 26005, 27182, 8628]",10
125,"[450989.14482099365, 4431632.670007664]","[21814, 16096, 18928, 27590, 16886, 15542, 14833, 15834, 8226, 21819, 16891, 14859]",12
126,"[449602.57778127515, 4416856.116122908]","[14101, 12135, 17861, 26109, 14112, 17906]",6
127,"[425199.1925510871, 4418580.56676939]","[4711, 20582, 18937, 7038, 11845, 4720, 18939]",7
128,"[466395.4061862301, 4417983.12534217]","[17446, 16710, 17454]",3
129,"[501727.82629196224, 4407240.064536261]","[18217, 18464, 5217, 19819, 23962, 6530, 18224, 5220, 24000]",9
130,"[444851.1425037643, 4425425.0340284305]","[3837, 9943, 17491, 16854, 4321, 27907, 3840, 17501, 4347]",9
131,"[451099.4482093692, 4430564.947536598]","[18478, 28343, 23146, 17790, 16441, 18478, 22167, 17861, 26109, 18541, 17801, 18523, 17906]",13
132,"[487024.47085900506, 4469287.799031095]","[20165, 13015, 22409, 5788, 18079, 22167, 20204, 22413, 18095]",9
133,"[459944.5327178, 4418928.802195464]","[25626, 15305, 28063, 21430, 9504, 25726, 21431]",7
134,"[458997.4492989076, 4417409.5835559135]","[25626, 19476, 1933, 25785]",4
135,"[450842.4287792645, 4427060.719719139]","[19702, 27524, 9568, 27505, 19705, 9572]",6
136,"[446136.73421048874, 4424806.109710813]","[23962, 6530, 24000]",3
137,"[445685.0428674165, 4427248.210925875]","[25626, 28533, 24919, 25883]",4
138,"[461291.95629925496, 4406880.424131122]","[19476, 3975, 5591, 23676, 20903, 13084, 19485, 23682]",8
139,"[457991.4500470929, 4405221.169261425]","[18217, 19784, 27590, 3622, 11786, 18226, 3624]",7
140,"[461131.1796237754, 4398345.680899724]","[26208, 8611, 3306, 22471, 25465, 11845, 12811, 8695, 27505, 6849, 26218, 3321, 25482, 1, 27507]",15
141,"[438175.33207218425, 4397429.173973348]","[8937, 5082, 6109, 4568, 22347, 11845, 8970, 4584]",8
142,"[445414.53325992863, 4422219.936189036]","[14301, 24871, 19147, 16965, 14324, 19167]",6
143,"[451968.70951908326, 4419736.976692318]","[2575, 20851, 11725, 8548, 2752, 11746]",6
144,"[426057.0934903181, 4397993.544269929]","[17446, 16710, 17454]",3
145,"[457663.1974604772, 4388304.337797856]","[21531, 7338, 9780, 14155, 13667, 7346, 14160]",7
146,"[440722.4373925363, 4437345.901298976]","[12539, 22276, 10371, 12544]",4
147,"[447716.9503812527, 4415801.800471169]","[12774, 3837, 18761, 11920, 12775]",5
148,"[443966.48545104166, 4416742.968643429]","[4301, 10527, 10518, 27590, 4306, 10525]",6
149,"[472954.41536130256, 4413994.109305806]","[25626, 20023, 5819, 2331, 5855, 23288, 25793, 2364]",8
150,"[453383.437034611, 4420795.188963752]","[2575, 14608, 20696, 24303, 16730, 8269, 5733, 18937, 2575, 12512, 2719, 20700, 16734, 5742, 2706]",15
151,"[455651.8446158947, 4427488.458567246]","[26031, 26109, 26035]",3
152,"[440018.1163147631, 4422260.491961506]","[25507, 22200, 9943, 22201]",4
153,"[450563.46668509085, 4420203.237520826]","[18261, 27437, 18264]",3
154,"[437563.2724568479, 4423347.236775359]","[17861, 24871, 20151, 4005, 7884, 17901, 4007]",7
155,"[437806.577888669, 4424412.279559191]","[18937, 7038, 18938]",3
156,"[469565.7668740097, 4418274.670251597]","[3848, 27505, 25213, 11387, 5855, 22950, 3888, 25225, 6062]",9
157,"[442498.9561475078, 4424527.843053222]","[7620, 8884, 21531, 7633]",4
158,"[444772.61804738914, 4430760.710686208]","[7663, 7831, 7663, 7831]",4
159,"[447059.03608235257, 4422513.195794961]","[22409, 5788, 27505, 22415]",4
160,"[429000.72261327994, 4398118.203788528]","[7220, 18928, 7240]",3
161,"[463277.10756603157, 4404127.074162813]","[13135, 13235, 21496, 22167, 21520]",5
162,"[436103.37284072785, 4417109.585086122]","[22409, 5788, 27505, 18079, 22167, 22415, 18095]",7
163,"[448339.10138932895, 4420980.122612181]","[17861, 26109, 22409, 5788, 17906, 22413]",6
164,"[450232.3368930301, 4423406.385584605]","[7673, 11656, 25586, 5855, 23826, 8490, 25995, 20562, 26500, 25091, 19147, 28137, 24728, 11518, 7677, 6065, 8540, 26507, 19182, 24735]",20
165,"[410235.1010170681, 4393741.391795041]","[19147, 14101, 23676, 20903, 19164]",5
166,"[449731.0156072924, 4418531.971811635]","[7702, 7950, 7703]",3
167,"[449964.754997268, 4418378.008090939]","[6545, 3647, 8937, 27524, 11845, 6554, 9227]",7
168,"[446498.1940453296, 4426175.435708577]","[17064, 27788, 4321, 18217, 19784, 27590, 17198, 18226]",8
169,"[438973.75445815106, 4409007.303357559]","[25058, 15542, 20767, 21185, 25065]",5
170,"[440375.98762789706, 4437958.358718274]","[15886, 3087, 24425, 15889]",4
171,"[429041.59565106535, 4402538.332136377]","[5855, 3647, 17064, 16886, 27590, 5872, 17143]",7
172,"[440027.8291926909, 4408541.686067347]","[18028, 28216, 18035]",3
173,"[439212.603882461, 4438882.211144207]","[17446, 16710, 25465, 11845, 20304, 16486, 17454, 25482, 20328]",9
174,"[446441.46232701343, 4418097.06387129]","[22409, 5788, 22413]",3
175,"[459701.76166041853, 4417405.833111623]","[14795, 26390, 8937, 12811, 8611, 21531, 27437, 14821, 9055, 21786]",10
176,"[472254.7779108705, 4415368.408157428]","[16901, 17058, 13544, 17826, 24752, 19373, 16912, 13545, 24762]",9
177,"[521565.9180325347, 4498118.092325544]","[20165, 25022, 22216, 18478, 20257, 22218]",6
178,"[462457.98737648415, 4428823.673935329]","[11615, 23369, 26208, 15747, 9245, 23826, 23393, 9407]",8
179,"[447480.0310605923, 4415498.5704465285]","[5525, 24273, 17997, 9943, 18079, 22167, 5544, 18095]",8
180,"[454462.21781635925, 4424599.3518017875]","[3580, 25081, 15019, 8269, 26508, 25465, 11845, 3597, 8367, 25482]",10
181,"[445450.57123796974, 4427249.888019366]","[10538, 10403, 25185, 22353, 10546, 25187]",6
182,"[446384.162701795, 4426633.530016938]","[13541, 5488, 13542]",3
183,"[451848.9616791212, 4400684.602068676]","[24941, 24774]",2
184,"[469557.86660636886, 4416293.211618424]","[10349, 18564, 6191, 26557, 10358]",5
185,"[452693.6233420983, 4423085.850895485]","[25263, 25465, 11845, 25482]",4
186,"[447055.859952385, 4422055.929463212]","[2292, 21131, 25626, 17587, 24581, 18564, 2575, 12512, 2306, 25765, 24584]",11
187,"[437146.04886382027, 4443777.067527686]","[3227, 6350, 11180, 11786, 17446, 16710, 3239, 17454]",8
188,"[448815.4127447589, 4439421.035107793]","[3496, 15708, 15141, 3537, 356]",5
189,"[451822.5096742315, 4415165.095305207]","[10436, 5153, 21288, 4568, 10447, 21291]",6
190,"[441691.7547955345, 4410967.685745512]","[1933, 2797, 24797, 21531, 27437, 1937, 21786]",7
191,"[440755.20173719834, 4426522.8292249115]","[17446, 16710, 5622, 8748, 17454, 5624]",6
192,"[436543.8324201426, 4413599.982935544]","[4887, 18275, 15059, 5032, 11387, 13306, 27008, 4925, 5037, 13322]",10
193,"[465507.5020397906, 4429266.511532893]","[17446, 16710, 25465, 11845, 20304, 16486, 17454, 25482, 20328]",9
194,"[469312.8761892777, 4442816.192980201]","[27179, 3027, 6350, 22079, 27182, 6467]",6
195,"[452306.4739172016, 4417448.453891622]","[16901, 17058, 2575, 12512, 7195, 25058, 8921, 16912, 2706, 25059]",10
196,"[449571.4037917433, 4412131.092006922]","[4648, 24865, 13084, 4673]",4
197,"[467801.34374019864, 4417367.37367856]","[28209, 11389, 28214]",3
198,"[473561.6615457071, 4419784.001493784]","[22409, 5788, 25213, 11387, 6109, 22413, 25226]",7
199,"[438803.701731951, 4431721.027811171]","[27082, 8269, 23288, 27093]",4
200,"[437537.05166818365, 4420146.362431217]","[19702, 27524, 19705]",3
201,"[470613.3068165808, 4415984.233506662]","[23676, 20903, 19147, 14101, 23676, 20903, 4806, 24619, 25457, 25171, 23682, 19164, 4812, 25461]",14
202,"[438110.627167288, 4432946.121849985]","[20641, 4988, 10001, 20660]",4
203,"[454992.8705193136, 4415145.759526645]","[21531, 19211, 5798, 15141, 21699, 5800]",6
204,"[430615.8465634671, 4433315.758624318]","[9245, 10068, 26270, 9304]",4
205,"[443847.96682504937, 4416591.41007767]","[18104, 18079, 18111]",3
206,"[468577.79969817377, 4462940.10017246]","[2575, 20851, 20136, 3428, 10681, 26187, 2752, 20137, 10939]",9
207,"[451485.4381998617, 4399010.242047041]","[7620, 8884, 21531, 19191, 15019, 11845, 7632, 1, 15032]",9
208,"[412765.39911213703, 4480150.465475896]","[4887, 25036, 11261, 17446, 16710, 11929, 4632, 15019, 17491, 16854, 4935, 17454, 11932, 17501]",14
209,"[435607.9013830532, 4427936.546602331]","[3496, 25304, 7097, 21531, 19211, 3561, 21699]",7
210,"[444376.5201171744, 4424666.331066199]","[22409, 5788, 18079, 22167, 22413, 18095]",6
211,"[448657.26800592797, 4415947.849076511]","[6766, 18228]",2
212,"[472959.27067660895, 4415365.881834597]","[12595, 15352, 12600]",3
213,"[448619.6306124375, 4392779.555021437]","[28427, 15019, 4643, 21531, 19211, 28447, 21699]",7
214,"[446033.39026298537, 4410173.6898223255]","[18895, 18914, 9649, 23042, 18907, 283]",6
215,"[454645.13368893205, 4415909.943506547]","[17829, 26270, 26513, 4767, 17835, 1]",6
216,"[441344.9559742923, 4396337.34404471]","[25389, 25626, 27663, 17446, 16710, 22760, 8226, 11929, 4632, 15019, 25390, 17454, 22784, 11932]",14
217,"[438227.5570845689, 4418463.987369794]","[16405, 8705, 18761, 16416]",4
218,"[455652.7329570656, 4427640.881464074]","[17826, 8695, 17827]",3
219,"[441742.9058381913, 4417674.1907472955]","[9504, 19620, 17313, 16872, 9511, 17347]",6
220,"[440749.2704425393, 4425760.7122015245]","[25626, 25286, 12291, 8611, 25841, 12299]",6
221,"[453699.3950218771, 4414848.638170479]","[2575, 8269, 20359, 10007, 13224, 14910, 27590, 2648]",8
222,"[445932.5149519972, 4429075.623767071]","[18478, 13480, 18500]",3
223,"[449736.0361632076, 4419294.077636111]","[24728, 11518, 24735]",3
224,"[448792.06049845566, 4418538.214730681]","[18761, 11920, 3573, 18787]",4
225,"[456043.51914526854, 4414072.6679229345]","[14833, 5855, 13266, 22215, 25277, 8597, 14837, 13277, 25280]",9
226,"[449966.75369682786, 4418682.85021482]","[11615, 23369, 2043, 4745, 12159, 11627, 4747]",7
227,"[441083.3658799412, 4423471.63738799]","[17446, 16710, 20304, 16486, 10681, 26557, 17454, 20328, 10941]",9
228,"[454868.24814985984, 4413927.093306463]","[12044, 11819, 12049]",3
229,"[446460.7199741254, 4420840.650582063]","[11331, 23288, 27590, 11371]",4
230,"[472629.44729721226, 4421616.360282745]","[17446, 16710, 17454]",3
231,"[450827.6640532859, 4424774.378403259]","[18172, 26109]",2
232,"[468577.79969817377, 4462940.10017246]","[11093, 16160, 11095]",3
233,"[450779.477109151, 4417305.719655882]","[21434, 7540, 21438]",3
234,"[439771.44937561045, 4420738.118136515]","[25465, 11845, 25482, 1403]",4
235,"[426299.7843179824, 4398753.372076657]","[27663, 28533, 8555, 20304, 13084, 23288, 10424, 4216, 6849, 27766, 20323, 10426]",12
236,"[437292.3364018506, 4418928.911309857]","[13835, 2292, 19344, 19476, 24570, 13838, 19576]",7
237,"[432090.2336158979, 4401443.723313147]","[18079, 28063, 18100]",3
238,"[444677.11763201124, 4401342.649401227]","[16405, 11944, 16422]",3
239,"[453167.5034650364, 4423845.06280922]","[26031, 26109, 5644, 22167, 26035, 5647]",6
240,"[454474.9787742046, 4426733.266899869]","[23962, 24514, 24128]",3
241,"[444159.8584834635, 4427106.817744694]","[18198, 25188, 18201, 926]",4
242,"[444664.2457000365, 4415823.306992883]","[26058, 11936, 26064, 894]",4
243,"[453104.78539172665, 4413632.859743935]","[22525, 9245, 2575, 12512, 6191, 26557, 22529, 6214]",8
244,"[462056.28888393054, 4418765.584264697]","[21288, 4568, 13135, 14929, 21291, 13149]",6
245,"[448426.56699937955, 4416559.113688014]","[25277, 8597, 5848, 9719, 25280, 5849]",6
246,"[436625.8752520886, 4437531.456827252]","[19147, 14101, 19160, 1153]",4
247,"[443900.68217303936, 4423755.234936379]","[12883, 7978, 25465, 11845, 16353, 9885, 12884, 25482, 16354]",9
248,"[489395.50846297166, 4413953.609985006]","[5855, 3647, 8937, 10007, 5895]",5
249,"[456099.6801882974, 4423827.60192388]","[28110, 19362, 8042, 8226, 28118, 8061]",6
250,"[446155.1795480988, 4410782.539566648]","[23962, 6530, 21531, 27437, 24000, 21786]",6
251,"[445796.85139348806, 4426485.258778017]","[26995, 21015, 8611, 7744, 25465, 11845, 5855, 3647, 23123, 15542, 8490, 25995, 20562, 11845, 27002, 8631, 25482, 5872, 23137, 8540]",20
252,"[448416.27407737507, 4415034.90863243]","[5667, 26270, 5683]",3
253,"[441085.01507340465, 4393138.4079986075]","[5855, 16978, 4568, 22347, 6027, 4584]",6
254,"[440467.9514373965, 4434756.497028572]","[7839, 24999, 7270, 25602, 11819, 21886, 17861, 26109, 7841, 25605, 17906]",11
255,"[446892.94927160634, 4415502.629530315]","[22409, 5788, 27505, 22415]",4
256,"[459643.08765496477, 4406279.246278594]","[17640, 26794, 17648]",3
257,"[452563.3013919293, 4402051.957953599]","[23183, 11845, 10681, 14181, 25171, 23183, 23187, 10787, 25177]",9
258,"[455471.4405687479, 4416667.208422369]","[12244, 24478, 18217, 12246]",4
259,"[437800.3556121361, 4423650.164030313]","[14833, 11137, 18104, 18079, 14844, 18111]",6
260,"[454823.08783958526, 4426121.480577937]","[8937, 20165, 9138]",3
261,"[440500.29621181096, 4408842.856554362]","[2575, 12291, 8269, 26508, 12291, 8611, 2705, 8367, 12299]",9
262,"[412843.04572622234, 4395235.779336123]","[13084, 11180, 7620, 8884, 21531, 21886, 9879, 27578, 13096, 7633, 21931]",11
263,"[440584.4974674906, 4419664.721249521]","[7915, 8548, 7934]",3
264,"[455871.287924007, 4424895.9121758435]","[18028, 28216, 18035]",3
265,"[443138.9143763541, 4431687.353425973]","[20066, 14750, 20414, 24633, 20076, 20418]",6
266,"[442891.675560333, 4414312.0629685065]","[28137, 22760, 28164]",3
267,"[445641.55263888853, 4421151.305200119]","[17861, 26109, 17906]",3
268,"[428650.4951732226, 4398426.310826654]","[5420, 12414, 14780, 3647, 5436, 14782, 894]",7
269,"[464634.7689634968, 4417991.080220841]","[27663, 16178, 27703]",3
270,"[454776.0874033133, 4418195.5540956175]","[22353, 16096, 14780, 3647, 22356, 14782]",6
271,"[469321.8391047506, 4415989.311970929]",[728],1
272,"[429112.78337528894, 4397507.44639689]","[5788, 7543, 8116, 5789]",4
273,"[450710.39090783615, 4424775.136469914]","[5855, 11656, 15748, 5991]",4
274,"[475914.8694910639, 4421757.695067147]","[5855, 3647, 20562, 7598, 25028, 10518, 27590, 5924, 7616, 10525]",10
275,"[455852.33184285165, 4401270.216126936]","[11643, 16901, 11647]",3
276,"[448518.1952170773, 4447349.618055083]","[27179, 3027, 21531, 19211, 27182, 21699]",6
277,"[488309.2427173438, 4470810.0125041455]","[19147, 14101, 23676, 20903, 8849, 25171, 19164, 8882]",8
278,"[451950.4799162884, 4416840.979650734]","[12326, 11561, 3348, 5770, 13115, 12328, 3350]",7
279,"[448352.52834681055, 4422961.608126798]","[23962, 6530, 24000]",3
280,"[481782.1702024807, 4422351.101966335]","[24842, 4242, 24843]",3
281,"[442557.6845666342, 4432301.458140439]","[11331, 17028, 4216, 17029]",4
282,"[440746.898163961, 4425455.865642031]","[6191, 26557, 21531, 27437, 6214, 21786]",6
283,"[470007.5907475678, 4440984.272253455]","[4057, 23615, 25608, 23288, 15019, 4101, 25615]",7
284,"[433152.93039079447, 4401891.680979049]","[18713, 17385, 17786, 18735]",4
285,"[448919.63587783254, 4420061.64106461]","[24728, 11518, 24735]",3
286,"[442509.31371857726, 4425899.650727662]","[17064, 11842, 13449, 17108]",4
287,"[446819.1021929922, 4421752.718660344]","[17446, 16710, 22409, 5788, 25465, 11845, 17454, 22413, 25482]",9
288,"[440635.57662590774, 4426218.895760386]","[9579, 13819, 1887, 17446, 16710, 9601, 17454]",7
289,"[439050.05589903, 4403824.125040374]","[4648, 24865, 4670]",3
290,"[445057.1008984568, 4421460.354035575]","[17626, 24743, 3218, 17631]",4
291,"[476697.5273829268, 4409104.347599543]","[17640, 26794, 17648]",3
292,"[449851.39018542116, 4418988.4629377555]","[17968, 22208, 17976]",3
